,0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9,10
1,9,8,7,6,6,8,6,4,1,0
2,1,3,5,5,6,4,8,6,9,10
3,9,7,6,7,9,6,5,4,1,0
4,1,5,5,6,1,5,7,6,9,10
5,9,6,7,8,9,7,4,5,1,0
6,1,6,5,5,1,6,6,6,9,10
7,9,8,7,6,9,8,6,6,1,0
8,1,5,4,6,1,5,8,8,9,10
9,9,7,6,8,9,6,4,5,1,0
10,1,4,5,6,1,7,6,6,9,10
11,9,6,7,8,9,7,7,6,1,0
12,1,5,6,5,1,6,6,8,9,10
13,9,8,8,6,9,7,6,5,1,0
14,1,4,4,7,1,5,8,6,9,10
15,9,6,6,7,9,6,6,6,1,0
16,1,5,6,7,1,8,8,9,9,10
17,9,7,8,8,9,5,5,1,1,0
18,1,4,4,5,1,6,6,9,9,10
19,9,6,6,6,9,7,6,1,1,0
